Time,M
0.340136054,7380697.648
0.340936375,7379841.498
0.341736695,7378882.293
0.342537015,7377825.066
0.343337335,7376294.813
0.344137655,7374486.719
0.344937975,7372456.521
0.345738295,7370206.625
0.346538615,7367739.228
0.347338936,7365056.323
0.348139256,7364370.379
0.348939576,7364118.659
0.349739896,7364293.627
0.350540216,7364893.888
0.351340536,7365917.852
0.352140856,7367172.825
0.352941176,7367353.643
0.353741497,7367474.24
0.354541817,7367530.395
0.355342137,7367517.777
0.356142457,7367431.941
0.356942777,7367396.759
0.357743097,7367717.261
0.358543417,7368102.142
0.359343737,7368546.565
0.360144058,7369045.819
0.360944378,7369595.325
0.361744698,7370210.947
0.362545018,7370915.662
0.363345338,7371688.007
0.364145658,7372529.307
0.364945978,7373441.499
0.365746299,7374427.197
0.366546619,7375374.372
0.367346939,7376226.845
0.368147259,7377046.701
0.368947579,7377823.458
0.369747899,7378547.337
0.370548219,7379209.26
0.371348539,7379810.798
0.37214886,7380344.137
0.37294918,7380799.124
0.3737495,7381169.674
0.37454982,7381450.154
0.37535014,7381635.357
0.37615046,7381239.36
0.37695078,7380381.023
0.3777511,7379093.184
0.378551421,7377329.745
0.379351741,7375044.642
0.380152061,7372191.777
0.380952381,7371003.753
0.381752701,7370335.104
0.382553021,7370235.837
0.383353341,7370820.939
0.384153661,7372204.932
0.384953982,7374194.476
0.385754302,7373840.519
0.386554622,7373286.974
0.387354942,7372534.722
0.388155262,7371584.399
0.388955582,7370436.388
0.389755902,7369279.902
0.390556222,7368675.771
0.391356543,7368122.886
0.392156863,7367618.382
0.392957183,7367159.198
0.393757503,7366742.081
0.394557823,7366468.347
0.395358143,7366459.45
0.396158463,7366565.993
0.396958784,7366783.123
0.397759104,7367105.985
0.398559424,7367529.72
0.399359744,7367986.814
0.400160064,7368448.031
0.400960384,7368958.147
0.401760704,7369513.056
0.402561024,7370108.892
0.403361345,7370742.037
0.404161665,7371397.837
0.404961985,7372073.235
0.405762305,7372770.447
0.406562625,7373487.574
0.407362945,7374223.437
0.408163265,7374977.612
0.408963585,7375431.758
