H,B
416.97269,1.471395
418.823681,1.471906
420.68289,1.472416
422.550351,1.472927
424.426102,1.473437
426.31018,1.473947
428.202622,1.474458
430.103464,1.474968
432.012745,1.475479
433.9305,1.47599
435.85677,1.4765
437.79159,1.477011
439.734999,1.477522
441.687034,1.478032
443.647736,1.478543
445.617141,1.479054
447.595288,1.479565
449.582217,1.480076
451.577966,1.480587
453.582574,1.481098
455.596081,1.481609
457.618526,1.48212
459.649949,1.482631
461.69039,1.483142
463.739889,1.483654
465.798485,1.484165
467.86622,1.484676
469.943134,1.485188
472.029267,1.485699
474.124661,1.48621
476.229357,1.486722
478.343396,1.487234
480.466819,1.487745
482.599669,1.488257
484.741986,1.488769
486.893813,1.48928
489.055193,1.489792
491.226167,1.490304
493.406778,1.490816
495.59707,1.491328
497.797084,1.49184
500.006864,1.492352
502.226454,1.492864
504.455897,1.493376
506.695237,1.493888
508.944517,1.4944
511.203783,1.494912
513.473077,1.495425
515.752445,1.495937
518.041931,1.496449
520.341581,1.496962
522.651439,1.497474
524.971551,1.497987
527.301962,1.498499
529.642718,1.499012
531.993866,1.499524
534.35545,1.500037
536.727517,1.50055
539.110114,1.501062
541.503288,1.501575
543.907086,1.502088
546.321554,1.502601
548.74674,1.503114
551.182692,1.503627
553.629458,1.50414
556.087085,1.504653
558.555621,1.505166
561.035116,1.505679
563.525618,1.506192
566.027175,1.506705
568.539837,1.507219
571.063653,1.507732
573.598672,1.508245
576.144945,1.508759
578.702521,1.509272
581.27145,1.509785
583.851783,1.510299
586.443571,1.510813
589.046864,1.511326
591.661713,1.51184
594.288169,1.512353
596.926285,1.512867
599.576112,1.513381
602.237702,1.513895
604.911107,1.514408
607.596379,1.514922
610.293571,1.515436
613.002737,1.51595
615.723929,1.516464
618.457201,1.516978
621.202606,1.517492
623.960198,1.518006
626.730032,1.518521
629.512161,1.519035
632.30664,1.519549
635.113525,1.520063
637.932869,1.520578
640.764729,1.521092
643.60916,1.521606
646.466217,1.522121
649.335958,1.522635
652.218437,1.52315
655.113713,1.523664
658.02184,1.524179
660.942877,1.524694
663.876881,1.525208
666.82391,1.525723
669.78402,1.526238
672.757271,1.526753
675.743721,1.527268
678.743428,1.527782
681.75645,1.528297
684.782848,1.528812
687.822681,1.529327
690.876008,1.529842
693.942888,1.530357
697.023383,1.530873
700.117553,1.531388
703.225458,1.531903
706.34716,1.532418
709.482719,1.532933
712.632197,1.533449
715.795656,1.533964
718.973158,1.534479
722.164765,1.534995
725.37054,1.53551
728.590547,1.536026
731.824847,1.536541
735.073504,1.537057
738.336583,1.537573
741.614147,1.538088
744.90626,1.538604
748.212988,1.53912
751.534394,1.539635
754.870545,1.540151
758.221505,1.540667
761.58734,1.541183
764.968117,1.541699
768.363901,1.542215
771.77476,1.542731
775.20076,1.543247
778.641968,1.543763
782.098453,1.544279
785.570281,1.544795
789.05752,1.545311
792.560241,1.545827
796.07851,1.546344
799.612397,1.54686
803.161971,1.547376
806.727303,1.547893
810.308461,1.548409
813.905517,1.548926
817.51854,1.549442
821.147602,1.549959
824.792774,1.550475
828.454127,1.550992
832.131734,1.551508
835.825666,1.552025
839.535995,1.552542
843.262795,1.553058
847.006139,1.553575
850.7661,1.554092
854.542752,1.554609
858.336169,1.555126
862.146425,1.555643
865.973596,1.556159
869.817755,1.556676
873.67898,1.557193
877.557345,1.557711
881.452926,1.558228
885.365801,1.558745
889.296045,1.559262
893.243735,1.559779
897.208951,1.560296
901.191768,1.560814
905.192265,1.561331
909.210521,1.561848
913.246615,1.562366
917.300625,1.562883
921.372632,1.5634
925.462715,1.563918
929.570954,1.564435
933.69743,1.564953
937.842224,1.565471
942.005417,1.565988
946.187091,1.566506
950.387328,1.567024
954.60621,1.567541
958.843821,1.568059
963.100242,1.568577
967.375559,1.569095
971.669854,1.569612
975.983212,1.57013
980.315718,1.570648
984.667456,1.571166
989.038512,1.571684
993.428971,1.572202
997.83892,1.57272
1002.268446,1.573239
1006.717635,1.573757
1011.186574,1.574275
1015.675352,1.574793
1020.184055,1.575311
1024.712774,1.57583
1029.261596,1.576348
1033.83061,1.576866
1038.419907,1.577385
1043.029577,1.577903
1047.659709,1.578421
1052.310395,1.57894
1056.981726,1.579458
1061.673794,1.579977
1066.38669,1.580496
1071.120507,1.581014
1075.875338,1.581533
1080.651277,1.582052
1085.448416,1.58257
1090.266851,1.583089
1095.106675,1.583608
1099.967984,1.584127
1104.850873,1.584645
1109.755437,1.585164
1114.681773,1.585683
1119.629978,1.586202
1124.600149,1.586721
1129.592383,1.58724
1134.606778,1.587759
1139.643432,1.588278
1144.702445,1.588798
1149.783915,1.589317
1154.887943,1.589836
1160.014628,1.590355
1165.16407,1.590874
1170.336372,1.591394
1175.531635,1.591913
1180.749959,1.592432
1185.991449,1.592952
1191.256206,1.593471
1196.544334,1.593991
1201.855936,1.59451
1207.191118,1.59503
1212.549983,1.595549
1217.932636,1.596069
1223.339184,1.596588
1228.769732,1.597108
1234.224387,1.597628
1239.703256,1.598147
1245.206446,1.598667
1250.734066,1.599187
1256.286223,1.599707
1261.863027,1.600227
1267.464587,1.600747
1273.091013,1.601266
1278.742415,1.601786
1284.418905,1.602306
1290.120593,1.602826
1295.847592,1.603346
1301.600014,1.603867
1307.377971,1.604387
1313.181577,1.604907
1319.010946,1.605427
1324.866193,1.605947
1330.747431,1.606467
1336.654777,1.606988
1342.588347,1.607508
1348.548256,1.608028
1354.534622,1.608549
1360.547563,1.609069
1366.587195,1.60959
1372.653638,1.61011
1378.747011,1.610631
1384.867433,1.611151
1391.015024,1.611672
1397.189905,1.612192
1403.392197,1.612713
1409.622022,1.613234
1415.879502,1.613754
1422.164759,1.614275
1428.477918,1.614796
1434.819101,1.615317
1441.188434,1.615838
1447.586041,1.616358
1454.012047,1.616879
1460.466579,1.6174
1466.949764,1.617921
1473.461729,1.618442
1480.002601,1.618963
1486.572508,1.619484
1493.17158,1.620005
1499.799946,1.620527
1506.457737,1.621048
1513.145082,1.621569
1519.862113,1.62209
1526.608961,1.622611
1533.38576,1.623133
1540.192642,1.623654
1547.02974,1.624175
1553.897189,1.624697
1560.795124,1.625218
1567.723679,1.62574
1574.682991,1.626261
1581.673196,1.626783
1588.694431,1.627304
1595.746834,1.627826
1602.830544,1.628348
1609.9457,1.628869
1617.09244,1.629391
1624.270906,1.629913
1631.481238,1.630434
1638.723577,1.630956
1645.998066,1.631478
1653.304847,1.632
1660.644064,1.632522
1668.01586,1.633044
1675.420381,1.633566
1682.857771,1.634088
1690.328177,1.63461
1697.831745,1.635132
1705.368622,1.635654
1712.938956,1.636176
1720.542896,1.636698
1728.18059,1.63722
1735.852189,1.637742
1743.557843,1.638265
1751.297704,1.638787
1759.071923,1.639309
1766.880652,1.639832
1774.724046,1.640354
1782.602257,1.640877
1790.51544,1.641399
1798.463751,1.641921
1806.447345,1.642444
1814.46638,1.642967
1822.521012,1.643489
1830.6114,1.644012
1838.737701,1.644534
1846.900077,1.645057
1855.098686,1.64558
1863.333689,1.646103
1871.605249,1.646625
1879.913527,1.647148
1888.258687,1.647671
1896.640892,1.648194
1905.060306,1.648717
1913.517096,1.64924
1922.011426,1.649763
1930.543463,1.650286
1939.113375,1.650809
1947.72133,1.651332
1956.367496,1.651855
1965.052044,1.652378
1973.775144,1.652902
1982.536967,1.653425
1991.337684,1.653948
2000.177469,1.654471
2009.056494,1.654995
2017.974935,1.655518
2026.932966,1.656042
2035.930762,1.656565
2044.968501,1.657088
2054.046359,1.657612
2063.164515,1.658136
2072.323148,1.658659
2081.522437,1.659183
2090.762563,1.659706
2100.043706,1.66023
2109.36605,1.660754
2118.729777,1.661278
2128.13507,1.661801
2137.582115,1.662325
2147.071096,1.662849
2156.6022,1.663373
2166.175613,1.663897
2175.791525,1.664421
2185.450122,1.664945
