B,H
1.639832,1766.880652
1.640354,1774.724046
1.640877,1782.602257
1.641399,1790.51544
1.641921,1798.463751
1.642444,1806.447345
1.642967,1814.46638
1.643489,1822.521012
1.644012,1830.6114
1.644534,1838.737701
1.645057,1846.900077
1.64558,1855.098686
1.646103,1863.333689
1.646625,1871.605249
1.647148,1879.913527
1.647671,1888.258687
1.648194,1896.640892
1.648717,1905.060306
1.64924,1913.517096
1.649763,1922.011426
1.650286,1930.543463
1.650809,1939.113375
1.651332,1947.72133
1.651855,1956.367496
1.652378,1965.052044
1.652902,1973.775144
1.653425,1982.536967
1.653948,1991.337684
1.654471,2000.177469
1.654995,2009.056494
1.655518,2017.974935
1.656042,2026.932966
1.656565,2035.930762
1.657088,2044.968501
1.657612,2054.046359
1.658136,2063.164515
1.658659,2072.323148
1.659183,2081.522437
1.659706,2090.762563
1.66023,2100.043706
1.660754,2109.36605
1.661278,2118.729777
1.661801,2128.13507
1.662325,2137.582115
1.662849,2147.071096
1.663373,2156.6022
1.663897,2166.175613
1.664421,2175.791525
1.664945,2185.450122
1.665469,2195.151595
1.665993,2204.896134
1.666517,2214.68393
1.667041,2224.515175
1.667566,2234.390063
1.66809,2244.308786
1.668614,2254.271539
1.669138,2264.278519
1.669663,2274.32992
1.670187,2284.425941
1.670712,2294.56678
1.671236,2304.752635
1.671761,2314.983706
1.672285,2325.260194
1.67281,2335.5823
1.673334,2345.950228
1.673859,2356.36418
1.674384,2366.824361
1.674908,2377.330975
1.675433,2387.88423
1.675958,2398.484332
1.676483,2409.131489
1.677008,2419.825911
1.677532,2430.567806
1.678057,2441.357385
1.678582,2452.194861
1.679107,2463.080445
1.679632,2474.014352
1.680158,2484.996796
1.680683,2496.027993
1.681208,2507.108158
1.681733,2518.237509
1.682258,2529.416265
1.682784,2540.644644
1.683309,2551.922868
1.683834,2563.251157
1.68436,2574.629734
1.684885,2586.058821
